item,condition,transcription_conc,,,,
fishing reel,pre," So assuming that this is a fishing rod, I'm not sure if the reel is a part of a rod or not. But you cast it and then hopefully you feel something tugging on the end of it.  And then you can wind it up and that way you see what you ended up catching.",,,,
fishing reel,post," So a fishing reel is, I'm guessing it actually is part of the fishing rod. The fishing rod, that part you just showed me where you will cast it. And then once you want to reel it back in, like you felt the tug, for example, you'll spin the lever on the side, I guess, until you get the rod back.",,,,
three hole punch,pre," Okay. So three hole punch is a tool, often gray, that you'll use to punch three holes into a piece of paper  that you might want to do that for like putting something through those holes.  Maybe like if you're putting them in a binder, for example.",,,,
three hole punch,post," Okay, so a three hole punch is a tool that you use when you want to punch holes into a piece of paper, usually like one, maybe towards the, on the side of the paper with one hole at the top, one in the middle, one at the bottom, often because you want to place it in a binder that has like three rings, each hole corresponding to a ring.",,,,
french press,pre," Okay, I like have almost no idea.  I'm guessing based on the word “press”, it's something that will push something down and make it more compact.  I don't know what material would go inside of that.",,,,
french press,post," Okay, so a French press is a handheld tool that is shaped like a cylinder and on the inside has the press part, which there's like a inner cylinder, which acts as the handle and there's a more circular portion at the bottom  that can be used to press something up and down from what it looks like.  I'm guessing that you're pressing something that might be edible or maybe like used for food, like maybe like coffee grounds or something.",,,,
rolodex,pre,"Oh, God. No intuitions. I’ve never seen that before. ",,,,
rolodex,post," Yeah, a Rolodex is used for indexing notes and cards of sorts with an alphabetical function where there's a blue card on it.  It's like it's on this circular revolving like a revolution type plane and there's these blue cards with the letter and then like these thinner index cards  that I assume like you can maybe put words or notes going with that with that letter.  And so it revolves around so you can go from letter to letter.",,,,
crank flashlight,pre," I don't know what a crank flashlight is. So a flashlight obviously is a handheld device that you use that you press on a button and shine light to be able to see better in the dark. Well, actually, I'm just guessing from the word crank that it's going to be something that you, instead of pressing on a button, actually, you might be winding it up to turn it on.",,,,
crank flashlight,post," A crank flashlight is a type of flashlight that, in addition to having a button to turn the light on and off, has a crank. I couldn't tell exactly what the crank does. Maybe it intensifies the brightness if you crank one way and de-intensifies it if you crank the other way. And you had like handheld like a usual flashlight. I seem to have like a type of, I don't know if that was like a solar panel that might be relevant to its function,",,,,
hand mixer,pre," This seems like something, yeah, that you would want to mix, I'm guessing, some type of food, maybe something more, something along the lines of like dough or flour that is handheld. And manipulated by hand.",,,,
hand mixer,post," A hand mixer is a device that you use to whisk food, probably while baking, where you'll, on the top you'll hold it where there's a handle, and then on the side you have the crank that you can use to hold it.",,,,
pocket radio,pre,[],,,,
pocket radio,post," A pocket radio is a device that allows you to play music, and it fits in the palm of your hand as well as in your pocket, so it's portable and it has the antenna which connects to the signal, and it allows you to connect to the different stations. You can slide something on the side to change it from FM to AM, and then you can also slide between channels and the scale, which might be related to the frequency.",,,,
blood pressure cuff,pre," A blood pressure cuff is something that you'll tie onto your upper arm, and then you'll usually like go to the doctor, and the doctor will pump it, and you'll feel like it tightening on your arm, and then there's a thing, a circular device on the other end that will measure your blood pressure.",,,,
blood pressure cuff,post," A blood pressure cuff is a medical device that you'll... There's an arm strap where you'll attach it to your upper arm, and it holds in place thanks to a Velcro on it, and you can, or somebody else, sometimes a doctor, can press on... I don't want to describe that piece, but there's one piece that you can press on and then another piece coming out of the strap that will then give you a reading on this circular piece of your blood pressure.",,,,
stethoscope,pre," A stethoscope is to measure somebody's heartbeat. You'll put the piece that detects it against their heart, I believe, and then usually another person, the doctor, will then put this type of apparatus where they can listen into your heartbeat. So it maybe doesn't measure heartbeat. Maybe it is just for the doctor to listen to the heartbeat",,,,
stethoscope,post," Okay, so a stethoscope is a medical device where there's two main parts. One of them is where it's something you put into your ears, and then there's tubes that connect and then lead to this small metal piece that will detect your heartbeat and allow you to listen to it through what you put in your ears.",,,,
floppy disk,pre,"This might make me seem young, but it's like a CD that you can introduce into a CD reader that will then play the CD, maybe.",,,,
floppy disk,post," I think it's actually part of a computer's hardware, maybe, where there's a particular spot in the motherboard where you put that in.",,,,
bulb planter,pre," Okay, this is, I don't know what it is in a wild guess, because I think bulb is like a type of plant,  and there's also the word planter. Maybe this is something that used in planting bulbs.",,,,
bulb planter,post," Okay, I can describe its shape as having a handle on the top and then this open tube area that you can probably press down. I still can't really decipher the function, so I'll stick with my initial guess that it's used for planting plants and bulbs.",,,,
shoe horn ,pre," One, it could be a tool that's used on a shoe or it could be a part of a shoe. I'm going to guess it's a part of a shoe and that it is like the front part of the shoe, like that brings those two sides together, random guess.",,,,
shoe horn ,post," So a shoehorn is something that you use to slide your feet into shoes, especially if you like tight shoes. Sometimes they're used especially for dress shoes and that it will, it's like this long tool with like a hook at the end. And so the hook, you put it on like the heel or the backside of the shoe and then slide your foot in.",,,,
