SubjectID,ObjectID,PresOrder,GazeBlock,TotalBlockDur,FixCount,MeanFixDur
tulip003,hand mixer,1,1,20975.75552,70,222.857142857143
tulip003,hand mixer,1,2,8035.72224,23,272.478260869565
tulip003,fishing reel,2,1,30842.500096,83,291.650602409639
tulip003,fishing reel,2,2,12970.522368,40,254.35
tulip003,shoe horn,3,1,6435.255552,14,388.071428571429
tulip003,shoe horn,3,2,1767.2,7,202.857142857143
tulip003,bulb planter,4,1,22206.6112,71,212.422535211268
tulip003,blood pressure cuff,5,1,15671.33312,48,255.708333333333
tulip003,blood pressure cuff,5,2,600.177664,1,330
tulip003,stethoscope,6,1,9836.266752,28,279.75
tulip003,stethoscope,6,2,1833.87776,7,200
tulip003,pocket radio,7,1,34977.07776,102,291.029411764706
tulip003,pocket radio,7,2,7602.26688,19,343.526315789474
tulip003,crank flashlight,8,1,34510.277888,93,300.516129032258
tulip003,crank flashlight,8,2,20972.911104,49,360.795918367347
tulip003,french press,9,1,16404.888832,31,465.41935483871
tulip003,french press,9,2,10903.244544,28,310.285714285714
tulip003,three hole punch,10,1,9536.17792,22,352.954545454545
tulip003,three hole punch,10,2,12303.655424,32,319.5
tulip003,rolodex,11,1,32609.711104,103,254.52427184466
tulip003,rolodex,11,2,11570.111232,37,255.027027027027
tulip003,floppy disk,12,1,12270.322176,32,328.59375
tulip003,floppy disk,12,2,9436.144384,21,369
tulip004,blood pressure cuff,1,1,4968.022016,17,212.352941176471
tulip004,stethoscope,2,1,4167.911168,16,205.3125
tulip004,stethoscope,2,2,4167.90016,17,192.647058823529
tulip004,crank flashlight,3,1,11270.011136,29,325.827586206897
tulip004,crank flashlight,3,2,3967.844352,12,291.75
tulip004,floppy disk,4,1,11703.466752,32,296.6875
tulip004,floppy disk,4,2,6935.388928,12,502.416666666667
tulip004,shoe horn,5,1,4034.533376,12,284.166666666667
tulip004,shoe horn,5,2,1633.8112,4,338.75
tulip004,hand mixer,6,1,4301.277696,15,228
tulip004,fishing reel,7,1,6668.644352,22,247.954545454545
tulip004,rolodex,8,1,12103.588864,40,248.7
tulip004,rolodex,8,2,133.366528,1,135
tulip004,bulb planter,9,1,11136.644352,31,307.58064516129
tulip004,bulb planter,9,2,9602.855424,25,327.56
tulip004,three hole punch,10,1,7735.622144,23,261.782608695652
tulip004,three hole punch,10,2,2567.422208,4,561.5
