SubjectID,ObjectID,TalkBlock,Transcription
tulip003,handmixer,1,"A hand mixer is usually made out of metal and it's to help you mix things around. And it's usually electric most of the time. Okay. You usually plug it in and then you can control the speed for how fast you want it to mix and it's usually used for baking or cooking. Okay."
tulip003,handmixer,2,"There are like other forms of hand mixer so there's one where it's like manually and this one you have to use both hand rather than one hand as you are controlling the speed yourself with the spinning rod. Okay. We use one hand to hold it and then the other hand to spin it so it will start mixing on its own."
tulip003,fishingreel,1,"This thing is usually made out of plastic and is attached to a hook to lure the fish.  It is attached to the thing, to the hook, and then...  it gets thrown in the water to hopefully lure the fish, like, food."
tulip003,fishingreel,2," This is a tool where a string is attached, so you can, uh, look for fish. This object is usually made out of a metal and it would typically have like a row of bunch of strings on it and you can control with the gears to extend the length of the string.  It is used to, for fishing and it helps you extend the length of the string to expand your distance."
tulip003,shoehorn,1,"This object is usually made out of metal and its purpose is to fix your shoes. This object is used to fix your shoes and it is made out of metal and plastic."
tulip003,shoehorn,2,"This object is usually made out of metal and its purpose is to fix your shoes. This looks like a spatula but has an arch to it. It is usually made out of metal. It's supposed to help you put on your shoes from the back where the stick Pushes your shoes back up it to give your feet room to go through"
tulip003,bulbplanter,1,"This object is usually made out of some sort of metal and it's to help you attach a light bulb to it. It's to keep hold of the bulb and it's usually used for lighting."
tulip003,bulbplanter,2,"It looks like a cylinder metal but has an opening at the end with little ridges at the bottom and measurements on the side and there's a handle attached to it. You press this into the dirt and it helps you dig a certain amount of length to plant your plants."
tulip003,bloodpressurecuff,1,"This us usually made out of some sort of Fabric that has stuff in it and it's usually a long rectangular length so it could wrap around your arm uh this is wrap around your arm and it's used to help measure your blood pressure"
tulip003,bloodpressurecuff,2,"it's usually a rectangular length and it has velcro on it so it can uh hug your arm well it wraps around your arm and then towards the end it has a pump attached to it which the user can press to measure the blood pressure"
tulip003,stethoscope,1,"This object is usually made out of metal and It has a wire connected and on the other end is something that you can put in your ear to hear the heart. This thing usually helps you hear the heart is used in medical practice."
tulip003,stethoscope,2,"This object is usually made out of metal and it has a silicone wrap around the wires and towards the part where the plug for the ears. This object is used It's made out of metal and it's used to help hear the heart rate of a patient."
tulip003,pocketradio,1,"This object is usually made out of metal or plastic and it's in the shape of a box. This object works by playing a song or something if a CD was put into it."
tulip003,pocketradio,2,"This object looks like a rectangular box and it's made out of plastic with a long antenna sticking out of it. And it usually has different radio stations. printed for you to select with the sliding gear on the side.  By switching the gears on the side, you can choose your radio type and you can adjust the volume on the side as well. And it's used to listen to music or hear the radio."
tulip003,crankflashlight,1,"This is typically made out of metal and it's a long cylinder shape. You will have to twist the end of it to adjust the light."
tulip003,crankflashlight,2,"It's usually made out of plastic and it's shaped well to your hand to be cartable. It has a built in light. It is used to illuminate light and you could adjust the width of the light by twisting the gears."
tulip003,frenchpress,1,"This thing is made out of many compartments. And it's usually made out of metal in a cylinder cup shape type. This is used for to make coffee and it presses the coffee grounds."
tulip003,frenchpress,2,"This object is typically made out of... plastic glass or metal. And it is used to press tea or coffee. This object technically works when you put the leaves or the ground at the bottom and press it and add water. Or add water in it pressing it. So it compresses all the flavors out of the grounds or leaves."
tulip003,threeholepunch,1,"This object is usually made out of metal and it shapes like a rod. It is typically used for gardening and it can help you plant stuff."
tulip003,threeholepunch,2,"This object is a rectangular shape and it is typically made with metal with three hole punchers throughout the shape. It is used to punch holes through the paper by just inserting the paper between the two metal parts and pushing it down will punch holes through the paper."
tulip003,rolodex,1,"This object is usually made out of uh metal in its small circular shape. This object is used for... it's another type of tool that can be used for to help you fix things."
tulip003,rolodex,2,"This object is usually made out of metal and it sits on your table well. It has two stands on each side and in the middle. It's like a metal rod to hold the papers together. This object works by...  You can spin the things on the side to adjust what you want to see, like the paper, what paper you want to see. And it's used for... it can be used for anything like calendar or dates."
tulip003,floppydisk,1,"This object is really made out of metal. It's in a circular shape like a CD. This object is like similar to a CD."
tulip003,floppydisk,2,"It is a square shaped plastic. It is usually flat. This is something inserted into the printer to help you print out images or paper."
