X,subject_name,talk_block,object_name,description,cosineSim,accuracyScaled
339,tulip019,1,bloodpressurecuff,"Uh blood pressure cuff I’m assuming it’s the plastic wrap you wrap around your arm to take the blood pressure so it would have a comfortable in line I guess so when it wraps around your arm it doesn’t really bother you. I would assume it has some velcro straps and some wording on the side maybe directions how to use it or apply it to better read your blood pressure. It might be attached to like a plastic tube with like a maybe a little ball you could squish and it just puts pressure on your arm and so it could take your blood pressure. How this object works, like I was saying there might be a ball you squeeze and the blood pressure cuff just adds pressure on your arm. It is used to track your blood pressure to see if you’re healthy or not, and just to assess your health I think um and it’s mainly used for EMTs or like hospitals and yeah it’s just a good way to like assess your health",0.62828134708444,0.940640279279574
202,tulip011,1,bloodpressurecuff,The blood pressure cuff looks like a cuff or a bracelet that you put in either your wrist or your upper arm to check pressure and it has like a little reader device on top which displays numbers. This object works for checking the pressure and it is used in the medical field to check if you have like high or low pressure.,0.542201104293909,0.830821333340704
302,tulip017,1,bloodpressurecuff,A blood pressure cuff is made out of plastic and it's kind of like a wrap that goes around your bicep to check the pressure of your blood and how much your heartbeats are it's made out of plastic and it wraps around your bicep or right below your bicep kind of where your elbow is to check for your heartbeats and the pressure of your blood,0.532629250531967,0.818609810037089
270,tulip015,1,bloodpressurecuff,I think this one is pretty... It's like made of hard materials and can like... with some... used like electronic. For this one I think it's useful to like to let people to put their arms in and to test their blood pressure.,-0.0910268721831131,0.0229654693077637
112,tulip008,1,bloodpressurecuff,"I'm going to say it's black with a band that goes around your arm. And I think it's made of some sort of plastic or fabric.  The object works by, I believe it's pumping air into the place that stores it.  And I'm not sure how it does this, but I think it figures out what the pressure is  by resisting what's inside of your arm, the pressure inside your arm.",0.13802480628942,0.315183672694958
8,tulip003,1,bloodpressurecuff,This us usually made out of some sort of Fabric that has stuff in it and it's usually a long rectangular length so it could wrap around your arm uh this is wrap around your arm and it's used to help measure your blood pressure,0.228649939272461,0.430800871916684
282,tulip016,1,bulbplanter," Okay, so I don't know what a bulb planter is. I'm assuming it has to be a metal tool of some sort where you can dig a hole to plant a bulb of some plant.  I don't actually know what that tool looks like or what it is, so I'd love to actually look at it and learn more. That's everything that I think it could be. The only bulb other option would be a light bulb.  That doesn't make any sense, so it has to be some sort of tool or object. I'm picturing something that's like trowel-shaped. That's anything I can think of.  Right, so I think that this object has to dig holes. In the ground to plant this bulb of something.  I know you can plant bulbs for certain plants, so maybe this was made specifically for a certain type of plant to dig a hole in the ground for.",0.463967605660104,0.731013060518087
124,tulip008,1,bulbplanter,"This object… I'm not sure how this works.  I know this object is used to plant bulbs, which are, I think they’re perennials?  And so, they'll die over the winter but they'll come back during the spring and summer.",0.373371777965948,0.61543324822548
40,tulip004,1,bulbplanter,"I'm not 100% sure what this object would look like but I guess the first thing that comes to my mind is like when I think of planter,   I kind of think of gardening and when I think of bulb, like I think of an onion bulb. So, maybe it's something that like grows something at the start before it's like transferred into like a planter or something to garden with.  So, maybe it would be made out of like plastic and you would have to put like soil in it. I think it's something that I would imagine that it would be used in the beginning stages before they have to be like transplanted or transferred out as they get bigger.",0.330622433708963,0.56089474120356
268,tulip015,1,bulbplanter," For this one, I think it's also made of hard materials  and it's probably looks like,  it's probably round or it looks like a circle or something, look like a ball. I'm not sure about that.  For this one, I think it's probably made to,  like, make people to use it to put on a light bulb. Um.",-0.0333169933289144,0.0965902391803355
439,tulip024,1,bulbplanter,I don't think I know what this is but I'm assuming it's like the part of a lamp where the light bulb screws into and it's like a little metal screw thing with like eight or so notches to screw into. I think it works by just connecting the like metal from the light bulb to the lamp which is connected to electricity.,-0.0290411821680232,0.102045208398596
142,tulip009,1,bulbplanter,"I'm assuming if it is that top part of the metal thing then it works to hold the light  bulb to the actual, to hold the light bulb like in place and to be able to screw it on to places.",0.0144895828111218,0.157580631754165
212,tulip012,1,crankflashlight," The crank flashlight is, I'm assuming smaller torches that you get where you move a lever  around a, move a lever around a centre and it kind of generates kinetic energy which keeps the light  going. I think it's made from like plastic, metal, an LED bulb and so on. And it works by cranking the lever around and this generates the energy to keep the LED bulb going and I think it's used for  well it's used for light but it's not, you can't just turn on and off the switch, it's actually you have to have the continuous motion to do it.",0.532592432051076,0.818562837972054
296,tulip017,1,crankflashlight,I think is a very very bright flashlight probably used for camping I think that's a really really bright flashlight that is yeah again used for camping or to see really really dark areas around for like an unfamiliar areas,0.451754133535262,0.715431428873905
322,tulip018,1,crankflashlight," Okay, I think a crank flashlight might look like, it might be like a cylinder, and I'm  assuming that a cylinder with like a flatter surface, so, and it has like light coming  out of it for like how a normal flashlight works, and I think that it might be made out  of, um, I'm not really sure what it's made out of, but, yeah, I'm not really sure what it's made out of.  And I think how it works is that a crank, like, so it might be like a lever type, like  how the mixer was, and I think that based off of that, like the light comes out, and using that mechanism.  You can have light, and it's probably used for like, um, used to look, used to provide  light for like in dark areas, and like when people are out, it's like an emergency tool almost.",0.429867749442032,0.687509346481774
14,tulip003,1,crankflashlight,This is typically made out of metal and it's a long cylinder shape. You will have to twist the end of it to adjust the light.,-0.0053327757617916,0.132291779702518
106,tulip007,1,crankflashlight,So I'm guessing that it's probably has a handle on the side uh holding the flashlight or maybe Mostly made of metal or mostly made of plastic I'm guessing that it might be like a handheld uh Manual type of flashlight where you have to like spin the thing or like spin the handle,0.142366207566598,0.320722320086061
443,tulip024,1,crankflashlight,It is like a cylindrical object with a crank and like a little I think it's like a little mirror type thing towards the end you crank the flashlight I think like you cranking it creates some energy to I don't know what's inside of it but it uses the energy to make light that people used to see in the dark,0.241844454407981,0.447634092843853
349,tulip019,1,fishingreel,"A fishing reel it is going to be another manual mechanism that fishers use to fish. It is connected  by a very long, very long strings. Those strings are definitely like either made of metal or like really hard like plastic that are made to be in the water  and once you you use the spring, the fishing reel, then when you do get a catch and basically all the the line extends all the way as much as you need or as long as it has or however long it is and once you do get a catch you rotate this the wheel counterclockwise and it just rolls back into the roll and the fishing reel and yeah there's also a crank it is definitely for part attached to a fishing rod. How the object works and what it's used for is for Fishing it is attached to a fishing rod so that real fishing reel is the main part of the fishing rod and because it is attached to all the string that you you need when you fish and when you do catch eat that string just brings back the fish whichever once you rotate it the counterclockwise. Uhm",0.590995051995997,0.893071388999575
370,tulip020,1,fishingreel,"A fishing reel is made up of plastic. and has the reel and rod. The reel might be the thing at the bottom of a fishing rod. Where it's actually probably metal and it holds...  It's like a claw in a way, I think. Reel. It's either the claw at the bottom of a fishing rod or it's the reel. Reel. Or it's the string that holds against the rod. I don't know. I think that it works by you... Something with fishing and helping it not break the rod. When you're reeling...  Oh, the fishing reel is the rotating part that helps you bring the fish in. Yeah. That's what it's called. It's the rotating crank that reels the fish in when you're fishing. Okay. Yep.",0.583128477864172,0.883035417314304
150,tulip009,1,fishingreel,"A fishing reel is... I'm assuming the long portion of a fishing rod.  So it's typically made out of plastic, I think?  Or maybe metal, and it's like a long piece and it has the fishing string going through it, too. So it's used for fishing. And... It... It's like the...  It passes through the fishing rod and the string does, and so that way it can catch the fish and you can reel it back in that way.",0.55565214546765,0.847981823548372
