…1,SubjectID,ObjectID,TalkBlock,Transcription,accuracy_Nicole,certainty_Nicole,accuracy_Tarun,certainty_Tarun,raw_accuracy_Human,raw_certainty_Human,scaled_accuracy_Human,scaled_certainty_Human,Very certain,Somewhat certain,Somewhat uncertain,Very uncertain,raw_certainty_score_weighted,scaled_certainty_score_weighted,Very accurate,Somewhat accurate,Somewhat inaccurate,Very inaccurate,raw_accuracy_score_weighted,scaled_accuracy_score_weighted
0,tulip005,crankflashlight,2,"Um.  Yeah, it follows like a circular, ovular shape. Um.  There is a handle on the side that you turn, um, to turn on the flashlight.  There is a, um, circular, um, handle to like help hold, um, the flashlight on the end of it.  So there's the, there's the circle on one side and the glass on the other side. Um.  You crank the, you crank the handle. So.  Or crank the, like lever, on the side. Um it produces light. Um.  So, kind of a manual flashlight.",4,4,3,2,3.5,3.0,0.674871006068392,0.388343411734332,0.0903498381376266,0.478830426931381,0.358165830373764,0.072653904557228,2.58687619864941,0.346602825337269,0.28058794140815700,0.5979529619216920,0.09568856656551360,0.02577056735754010,3.1333583518862700,0.7150975670352840
1,tulip018,shoehorn,1,"I don't really know what a shoehorn is, but just based off of the name, I'm assuming that it probably is something used for your shoe, and it probably looks like a shoe, so it's, um, like an oval shape on your foot, and then with, like, a horn, so it makes, like, noise. And I think that's kind of how it works.  It, like, makes noise.  Then it's on your shoe, but I'm not really sure what it's used for.",2,2,2,2,2.0,2.0,-1.01230650910259,-0.764551091851965,0.0080633200705051,0.366355806589127,0.539531528949738,0.086049348115921,2.2964331060648,-0.503713760642599,0.1253734976053240,0.7636964321136480,0.09157321602106090,0.01935693249106410,2.9950866512954200,0.001987420151465740
2,tulip018,floppydisk,1,"I think a floppy disk typically... I think it's also made of plastic or some sort of metal. And I think it looks like it's kind of in a... in a circle shape? If it's like a disk. And I think  it's like, um... I think it's... it has like a hole in the middle and it has like a circle kind of in a donut shape. Um... And I think how it works  is like, it's normally in computers  or like a CD player, but what it's used for is like it has like media on it and then it kind of plays after you put it in the media player.",3,2,2,2,2.5,2.0,-0.449914004045594,-0.764551091851965,0.0221398621797561,0.610126554965973,0.299207657575607,0.0685259625315666,2.58588039129972,0.343687446980886,0.14226077497005500,0.7336128354072570,0.09731487929821010,0.026811521500349000,2.991322886198760,-0.017423486559377100
3,tulip011,shoehorn,2,"This object looks like a kind of like a stick, a metal stick. I think this object works for like a inserting your shoes easily if I'm correct. And the way it works is you put  the metal stick like on your heel, between your heel and the shoe, to make it easier for you to put your shoes on.",4,3,4,3,4.0,3.0,1.23726351112538,0.388343411734332,0.016869893297553,0.647014856338501,0.310029745101929,0.0260855462402105,2.65466917864978,0.545077145364429,0.21039904654026000,0.5884546637535100,0.13925808668136600,0.0618882030248642,2.947364553809170,-0.24413027278650100
4,tulip017,threeholepunch,2,"Yeah this object is typically made out of metal. It is uh long rectangular shaped. It has a piece of metal attached to the top of it that when you press down, it has these like three things also made out of metal that go through the paper or whatever you’re trying to hole punch to create a hole. It’s best used for papers that don’t already have hole punches so that you can add them into the binder with three rings.",4,3,4,4,4.0,3.5,1.23726351112538,0.96479066352748,0.216131240129471,0.707791864871979,0.0629636198282241,0.0131132258102297,3.1269410206005,1.92772521155996,0.33144184947013900,0.598027765750885,0.052225448191165900,0.018304923549294500,3.2426065150648400,1.2785243084303200
5,tulip010,fishingreel,2,down to a bit of a not a point but like kind of comes down to a cone shape to a like a handle that kind of attaches to the rod itself yeah and then other parts fishing line or like hold connecting to the rod to the fishing line can be fed through the spindle and then up through the loops of the fishing rod to then attach a any kind of like hook or jig or whatever object you're using on the fishing reel or a fishing line and it's used for fishing,3,3,4,3,3.5,3.0,0.674871006068392,0.388343411734332,0.0317608565092086,0.713321447372437,0.222893014550209,0.0320246331393718,2.74481843039393,0.809002871018911,0.18075117468833900,0.6966140270233150,0.08756888657808300,0.0350659042596817,3.023050457239150,0.14620546099967300
6,tulip004,rolodex,2,"This item is made of plastic and it has two rotating spinners on each side and in the middle of that on a horizontal line it has little like flash card looking pieces of paper that go through the alphabet and each letter has a different tab to it and it seems like information  could be stored on each one. So, for example, something started with like a P and maybe you were writing like a recipe or something for potatoes like you would put it under the P section so it almost seems as if it's like a little storage thing or you could also use it in an office setting.  It looks like this item is used to store information, data, it could be recipes, phone numbers, people's contact information. It basically just keeps everything in like a little storage space from A through Z.",4,4,3,3,3.5,3.5,0.674871006068392,0.96479066352748,0.0337384231388568,0.608204782009125,0.307336419820786,0.0507203452289104,2.62496122345328,0.458102561757241,0.1742638647556310,0.6905947923660280,0.09517517685890200,0.03996620699763300,2.9991563968360400,0.022976363137262600
7,tulip020,crankflashlight,2,"It's made of plastic, and it has also a green...  I don't even know what shape that is, like kind of rectangle shape, with a UV sensor so it can be charged by the sun. And then there's a little crank that comes out the side of it that you can rotate around. But there's also a slide button that you can just slide upwards and the flashlight will turn on on the side. And there's also a little clip at the handle where you can clip onto your pants or jacket or backpack. This object works as if you slide the on button on and then there will be a light that flashes out. So in case it could be used in the dark. If you're camping or just looking for something or if there's like in case of an emergency like you have a flashlight on deck so you can see in the dark.",4,4,4,3,4.0,3.5,1.23726351112538,0.96479066352748,0.028048014268279,0.404316127300262,0.478608936071396,0.0890268608927726,2.37138517200947,-0.28428012130534,0.17749550938606300,0.695215106010437,0.0992564857006073,0.028032872825861000,3.022173199802640,0.14168117167124100
8,tulip006,bloodpressurecuff,1,"Um, so blood pressure cuff,  it's usually like, um,  some sort of material, um,  that's like a flat tube usually,  um, that can be inflated later,  and then that thing has like, um,  a gauge usually on it, or is it sometimes separate?  I, I usually see like the gauge on top of the, um,  the inflatable tube that's flat, and then you can put it on the arm.  And then around that tube there's this, like,  um, connection to another tube that has at the end,  like a, um, something that you can squeeze,  I forget what you call it, to like put air into it.  Um, and then you increase it, um,  you keep on squeezing it to put air into the, um,  the inflatable thing that's around,  the person's arm,  and then, um, the gauge shows how much pressure is in it.  Um, I think that's it.  Describe how the object works,  Okay, what it's used for.  Um, so it's used for, um,  like, counting, it's used for figuring out the blood pressure.  Um, I'm trying to remember. I've had it done on me before.  I think they, um, put, put the cuff on to restrict circulation,  and then my hand is over,  and then they try to find, like, an, like, an artery or something,  like, they can get a sense of where my pulse is,  and then they bring it up to a certain threshold, I'm assuming,  and then, um, when it's restricted enough, then they can  And, like, feel the pulse, um,  when they release it or something like that,  and then they count the amount of pulses over, I think,  like, a minute.  Um, and that is an indication of my blood pressure. I could be totally wrong.  Okay, cool.",3,2,3,2,3.0,2.0,0.112478501011399,-0.764551091851965,0.0158296264708042,0.454232394695282,0.396629273891449,0.133308678865433,2.35258291661739,-0.339326600364081,0.11659630388021500,0.6580172181129460,0.18758031725883500,0.03780614957213400,2.853403653949500,-0.7287158446276370
9,tulip014,fishingreel,1,"Typically there's a few different variations of fishing reels. The easiest of the three is that they're on the ugly sticks. You just press the button.  There's a spool of wire contained inside of a protected sheath, if you will. There's another one where it's exposed. It's arguably more common than the previous one. The way that it works is... I shouldn't say it works yet. It has almost a lever that stops the... stops or allows the line to be used. And then there's also a hybrid of the two where it's more rectangular.  And I'm forgetting the name of these now, but it has exposed line as well as, I think, a button that you can press on. Generally these are made of plastic or metal. With a spool of fishing line. It's a... Which is like a rope material of some... I'm not sure the material for the line. It might be plastic or something else that I'm not aware of. Yeah. The objects... All work through the same mechanisms. Essentially the line is locked and unable to move without the...  You're using the mechanism, so if that's the button or if that's unlatching the clip  to let the spool run, And then you would... You would use the momentum of the rod to cast the string.  And when you're ready to stop the string, like if you land your cast where you want  it, you would let go of the button or close the clasp for the fishing reel.",3,3,4,2,3.5,2.5,0.674871006068392,-0.188103840058817,0.0275691486895084,0.235308840870857,0.636724770069122,0.100397273898125,2.19004993140698,-0.81516677911776,0.14903120696544600,0.6491661071777340,0.137712299823761,0.0640903189778328,2.883138068020340,-0.5753662272080350
